roomTypeName,roomType,roomTypePrice,roomTypeOccupancy,roomTypeCancellation
Classic Triple Room,breakfast,2028,2,non_refundable
Classic Triple Room,breakfast,2522,2,non_refundable
Classic Triple Room,breakfast,1760,3,non_refundable
Standard Triple Room,Room Only,1788,1,free_cancellation
Standard Triple Room,Room Only,2161,2,free_cancellation
Standard Triple Room,Room Only,1430,3,free_cancellation
Classic Triple Room,Room Only,1324,1,free_cancellation
Classic Triple Room,Room Only,1724,2,free_cancellation
Classic Triple Room,Room Only,1531,1,free_cancellation
Budget Double Room,breakfast,1569,2,free_cancellation
Budget Double Room,breakfast,1276,1,free_cancellation
Deluxe Double or Twin Room,Room Only,2240,2,free_cancellation
Deluxe Double or Twin Room,Room Only,2016,3,free_cancellation
Deluxe Double or Twin Room with Balcony,Room Only,2240,2,free_cancellation
Deluxe Double or Twin Room with Balcony,Room Only,2016,1,free_cancellation
Deluxe Double or Twin Room,Room Only,2240,1,free_cancellation
Deluxe Double or Twin Room,Room Only,2016,2,free_cancellation
Deluxe Double or Twin Room,Room Only,2240,3,free_cancellation
Deluxe Double or Twin Room,Room Only,2016,1,free_cancellation
Deluxe Double or Twin Room,Room Only,2800,2,free_cancellation
Deluxe Double or Twin Room,Room Only,2240,1,free_cancellation
Executive Room,Room Only,12891,3,free_cancellation
Executive Room,breakfast,14355,3,non_refundable
Executive Room,breakfast,13317,2,non_refundable
Deluxe Room,Room Only,13570,1,non_refundable
Deluxe Room,breakfast,15056,2,non_refundable
Deluxe Room,breakfast,14018,3,non_refundable
Signature Room,breakfast,16614,1,non_refundable
Signature Room,breakfast,15576,2,non_refundable
Manor Suite,breakfast,22844,2,non_refundable
Manor Suite,half_board,29498,1,non_refundable
Manor Suite,breakfast,21806,3,free_cancellation
Apartment,Room Only,1242,1,free_cancellation
Apartment,Room Only,1185,2,free_cancellation
Twin Room with City View,Room Only,600,2,free_cancellation
Suite with Balcony,Room Only,5000,1,free_cancellation
Single Bed in Female Dormitory Room,Room Only,300,2,free_cancellation
Single Bed in Female Dormitory Room,Room Only,300,1,free_cancellation
Single Bed in Female Dormitory Room,Room Only,300,1,free_cancellation
Bed in 8-Bed Mixed Dormitory Room,Room Only,450,3,free_cancellation
Single Bed in Mixed Dormitory Room,Room Only,1380,2,non_refundable
Standard Double or Twin Room with Fan,Room Only,1577,3,non_refundable
Standard Double or Twin Room with Fan,breakfast,1183,3,non_refundable
Standard Double or Twin Room with Fan,Room Only,1380,2,non_refundable
Standard Double or Twin Room with Fan,breakfast,2269,1,free_cancellation
Standard Double or Twin Room,breakfast,1922,2,free_cancellation
Standard Double or Twin Room,breakfast,836,1,free_cancellation
Standard Single Room,Room Only,1133,2,free_cancellation
Standard Single Room,breakfast,5880,2,non_refundable
One-Bedroom Chalet,half_board,1232,2,non_refundable
Deluxe Double Room,Room Only,1680,3,non_refundable
Deluxe Double Room,Room Only,1234,1,non_refundable
